client_time,device_time,gsr_data
1625628453155,1.6256284524810395E9,0.37931967
1625628453155,1.6256284527310395E9,0.38829008
1625628453155,1.6256284529810395E9,0.33446768
1625628454654,1.6256284532310395E9,0.3498455
1625628454654,1.6256284534810395E9,0.351127
1625628454654,1.6256284537310395E9,0.35368997
1625628454654,1.6256284539810395E9,0.35625294
1625628454654,1.6256284542310395E9,0.3588159
1625628454654,1.6256284544810395E9,0.36266035
1625628456154,1.6256284547310395E9,0.36650482
1625628456154,1.6256284549810395E9,0.36650482
1625628456154,1.6256284552310395E9,0.3588159
1625628456154,1.6256284554810395E9,0.35368997
1625628456154,1.6256284557310395E9,0.36009738
1625628456154,1.6256284559810395E9,0.3703493
1625628457657,1.6256284562310395E9,0.37291226
1625628457657,1.6256284564810395E9,0.3767567
1625628457657,1.6256284567310395E9,0.37931967
1625628457657,1.6256284569810395E9,0.3857271
1625628457657,1.6256284572310395E9,0.38700858
1625628457657,1.6256284574810395E9,0.38957155
1625628459155,1.6256284577310395E9,0.39213452
1625628459155,1.6256284579810395E9,0.3857271
1625628459155,1.6256284582310395E9,0.29474163
1625628459155,1.6256284584810395E9,0.38060117
1625628459155,1.6256284587310395E9,0.42417166
1625628459155,1.6256284589810395E9,0.5036238
1625628460654,1.6256284592310395E9,0.48568296
1625628460654,1.6256284594810395E9,0.4113568
1625628460654,1.6256284597310395E9,0.43954948
1625628460654,1.6256284599810395E9,0.45236436
1625628460655,1.6256284602310395E9,0.4562088
1625628460655,1.6256284604810395E9,0.46133474
1625628462155,1.6256284607310395E9,0.4369865
1625628462155,1.6256284609810395E9,0.44083098
1625628462155,1.6256284612310395E9,0.438268
1625628462155,1.6256284614810395E9,0.42545316
1625628462155,1.6256284617310395E9,0.4472384
1625628462155,1.6256284619810395E9,0.44595692
1625628463654,1.6256284622310395E9,0.4485199
1625628463654,1.6256284624810395E9,0.43954948
1625628463654,1.6256284627310395E9,0.44980136
1625628463654,1.6256284629810395E9,0.45108286
1625628463654,1.6256284632310395E9,0.45364583
1625628463654,1.6256284634810395E9,0.4562088
1625628465154,1.6256284637310395E9,0.44980136
1625628465154,1.6256284639810395E9,0.44083098
1625628465154,1.6256284642310395E9,0.43570504
1625628465154,1.6256284644810395E9,0.44467542
1625628465154,1.6256284647310395E9,0.44980136
1625628465154,1.6256284649810395E9,0.45492733
1625628466657,1.6256284652310395E9,0.4562088
1625628466657,1.6256284654810395E9,0.45877177
1625628466657,1.6256284657310395E9,0.46261624
1625628466657,1.6256284659810395E9,0.4651792
1625628466657,1.6256284662310395E9,0.46261624
1625628466657,1.6256284664810395E9,0.46646068
1625628468232,1.6256284667310395E9,0.3844456
1625628468232,1.6256284669810395E9,0.17043756
1625628468232,1.6256284672310395E9,0.17171904
1625628468232,1.6256284674810395E9,0.15121527
1625628468232,1.6256284677310395E9,0.1755635
1625628468232,1.6256284679810395E9,0.20503765
1625628469654,1.6256284682310395E9,0.22041549
1625628469654,1.6256284684810395E9,0.22297846
1625628469654,1.6256284687310395E9,0.24732667
1625628469654,1.6256284689810395E9,0.2524526
1625628469654,1.6256284692310395E9,0.2447637
1625628469654,1.6256284694810395E9,0.25629708
1625628471154,1.6256284697310395E9,0.24988964
1625628471154,1.6256284699810395E9,0.23707479
1625628471154,1.6256284702310395E9,0.22554143
1625628471154,1.6256284704810395E9,0.38700858
1625628471154,1.6256284707310395E9,0.38060117
1625628471154,1.6256284709810395E9,0.4908089
1625628472654,1.6256284712310395E9,0.4305791
1625628472654,1.6256284714810395E9,0.43186057
1625628472654,1.6256284717310395E9,0.4574903
1625628472654,1.6256284719810395E9,0.6509946
1625628472654,1.6256284722310395E9,0.789395
1625628472654,1.6256284724810395E9,0.70764685
1625628474155,1.6256284727310395E9,0.610254
1625628474155,1.6256284729810395E9,0.6256318
1625628474155,1.6256284732310395E9,0.62819475
1625628474155,1.6256284734810395E9,0.6256318
1625628474155,1.6256284737310395E9,0.6269133
1625628474155,1.6256284739810395E9,0.62050587
1625628475654,1.6256284742310395E9,0.6153799
1625628475654,1.6256284744810395E9,0.6140984
1625628475654,1.6256284747310395E9,0.6140984
1625628475654,1.6256284749810395E9,0.6064095
1625628475654,1.6256284752310395E9,0.610254
1625628475654,1.6256284754810395E9,0.607691
1625628477154,1.6256284757310395E9,0.60256505
1625628477154,1.6256284759810395E9,0.6140984
1625628477154,1.6256284762310395E9,0.61922437
1625628477154,1.6256284764810395E9,0.60256505
1625628477154,1.6256284767310395E9,0.58975023
1625628477154,1.6256284769810395E9,0.58846873
1625628478655,1.6256284772310395E9,0.5974391
1625628478655,1.6256284774810395E9,0.60128355
1625628478655,1.6256284777310395E9,0.5961576
